id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
45696,result,143,0,,,,,,"Geen #lng , #groningen volstorten met beton. En het alternatief #warmtenet ligt volledig op zijn gat. Gaat u maar alvast wat bomen in het park omzagen voor de komende #winter  #vroegerwasallesbeter https://t.co/3yibXBNHdS",1.78336979783463E+018,f,f,1,,,,,,,,,,,,,Sander van den Raadt,,,2024-04-25 05:37:47+00,0,0,2,https://twitter.com/sandervdraadt/status/1783369797834625484,263297555,sandervdraadt,149,2024-04-30 09:10:24.329389+00,https://twitter.com/search?q=%23groningen&src=typed_query
45697,result,144,0,,,,,,"Nou....zeg het maar, hoelang voordat In Groningen de gaskraan weer opengaat (en terecht). #gaskraan #Groningen #opendiekraan  Provincie Utrecht grijpt terug naar gas vanwege overvol stroomnet - https://t.co/gHOqLHv2gN",1.78345170983608E+018,f,f,2,,,,,,,,,,,,,Frenk ❌️❌️❌️,,,2024-04-25 11:03:17+00,0,1,0,https://twitter.com/F_r_e_n_k_i_e/status/1783451709836075515,1.40366644668992E+018,F_r_e_n_k_i_e,110,2024-04-30 09:10:24.583666+00,https://twitter.com/search?q=%23groningen&src=typed_query
45698,result,145,0,,,,,,"Volleybalteam #Lycurgus uit #Groningen neemt afscheid van zes spelers, onder wie #LuukHofhuis - #DagbladvanhetNoorden #volleybal  https://t.co/BsnLrCPhC0",1.78285476192389E+018,f,f,1,,,,,,,,,,,,,sjoerd jansen,,,2024-04-23 19:31:13+00,0,1,0,https://twitter.com/nolheijerman/status/1782854761923891344,130110912,nolheijerman,627,2024-04-30 09:10:24.842071+00,https://twitter.com/search?q=%23groningen&src=typed_query
45699,result,146,0,,,,,,Dode bij steekpartij Verlengde Frederikstraat #Groningen   https://t.co/QLTmaWlFoL,1.78270042817969E+018,f,f,0,,,,,,,,,,,,,112Online,,,2024-04-23 09:17:57+00,0,0,0,https://twitter.com/112Onlinenl/status/1782700428179685440,1.77256458856472E+018,112Onlinenl,65,2024-04-30 09:10:25.113837+00,https://twitter.com/search?q=%23groningen&src=typed_query
45700,result,147,0,,,,,,"Dode bij steekpartij in Groningen, verdachte aangehouden  https://t.co/Gv9iZKOUPZ #steekpartij #Groningen https://t.co/H4UvxkBSLh",1.78270657318745E+018,f,f,0,https://pbs.twimg.com/media/GL1yLV9XkAA6p2A.jpg,photo,https://pbs.twimg.com/media/GL1yLV9XkAA6p2A.jpg,,,,,,,,,,Wereldnieuws Online,,,2024-04-23 09:42:22+00,0,0,0,https://twitter.com/wereldnieuwsonl/status/1782706573187449315,146949333,wereldnieuwsonl,59,2024-04-30 09:10:25.362736+00,https://twitter.com/search?q=%23groningen&src=typed_query
45701,result,148,0,,,,,,"Breng die borden terug aub. Ze horen dáár, bij het Lopster Veerhuis, niet in een studentenkamer of een zuipkeet. #opsporingverzocht #groningen",1.78312422822245E+018,f,t,8,,,,,,,,,,,,,Nico Swart,https://twitter.com/Gelkinghe/status/Field,1.78312032703317E+018,2024-04-24 13:21:59+00,1,5,2,https://twitter.com/nicoswa/status/1783124228222452137,360615741,nicoswa,1395,2024-04-30 09:10:29.475674+00,https://twitter.com/search?q=%23groningen&src=typed_query
45702,result,149,0,,,,,,Inschrijving #4Mijl van #Groningen geopend. Tophandbikers geven in oktober een demonstratie - #Dagbladvanhet Noorden #atletiek  https://t.co/6uvfp5UQlL,1.78275275180754E+018,f,f,1,,,,,,,,,,,,,sjoerd jansen,,,2024-04-23 12:45:52+00,0,1,0,https://twitter.com/nolheijerman/status/1782752751807541491,130110912,nolheijerman,454,2024-04-30 09:10:29.76598+00,https://twitter.com/search?q=%23groningen&src=typed_query
45703,result,150,0,,,,,,Nieuw! De PBN Podcast!,1.72542609267515E+018,f,f,19,,,,,,,,,,,,,PBN.NL,,,2023-11-17 08:10:12+00,0,1,0,https://twitter.com/pbnteam/status/1725426092675154320,487544976,pbnteam,77600,2024-04-30 09:10:30.044363+00,https://twitter.com/search?q=%23groningen&src=typed_query
45704,result,151,0,,,,,,Heel #groningen @AsielGroningen willen jullie ook even mee kijken? Dit prinsesje wil naar haar personeel terug….,1.78347794329908E+018,f,t,4,,,,,,,,,,,,,Petra Steenbergen🦄🦜🐴👨‍👩‍👧,https://twitter.com/MarleneBakker/status/Field,1.78315104921528E+018,2024-04-25 12:47:31+00,0,6,0,https://twitter.com/SteenbergenP/status/1783477943299080569,2230248873,SteenbergenP,271,2024-04-30 09:10:30.295672+00,https://twitter.com/search?q=%23groningen&src=typed_query
45705,result,152,0,,,,,,Northern #Deutschland and #Netherlands in the barometric low zone RAF31 sensor from near #Groningen this morning @raspishake  @rrichcord @CeciliaSykala https://t.co/7hDDFG5Izj,1.78374093267375E+018,f,f,2,https://pbs.twimg.com/media/GMEeqjuXYAAuZ44.jpg,photo,https://pbs.twimg.com/media/GMEeqjuXYAAuZ44.jpg,https://pbs.twimg.com/media/GMEeuaCWwAACAXp.jpg,photo,https://pbs.twimg.com/media/GMEeuaCWwAACAXp.jpg,,,,,,,Guardian-Earth🦋7✨ 🛸..🌏👀 🌏 ..🛸 ✨,,,2024-04-26 06:12:33+00,1,1,0,https://twitter.com/DarMo68/status/1783740932673749030,1.03259462141783E+018,DarMo68,201,2024-04-30 09:10:30.581448+00,https://twitter.com/search?q=%23groningen&src=typed_query
