id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
30859,result,135,0,,,,,,#Tinyhouses #Westpark #Groningen Gisteren door ongelukkige manoeuvre met fiets omgevallen bij het oversteken. Tijdens spitsuur dus heel druk maar meteen stonden twee auto's stil en kwamen twee mannen mij te hulp. ❤️ Fiets gelukkig nog heel en ikzelf ook. https://t.co/i24l4s9JVm,1.78274093281249E+018,f,f,26,https://pbs.twimg.com/media/GL2RXnxWQAAlVux.jpg,photo,https://pbs.twimg.com/media/GL2RXnxWQAAlVux.jpg,,,,,,,,,,Ineke Kouwenhoven,,,2024-04-23 11:58:54+00,0,0,3,https://twitter.com/IKouwenhoven/status/1782740932812489090,541266024,IKouwenhoven,382,2024-05-01 09:15:33.001311+00,https://twitter.com/search?q=%23groningen&src=typed_query
30861,result,114,0,,,,,,ins Blaue hinein / in het wilde weg Reitdiepgebied  #Groningen  @GR_Landschap https://t.co/zaQgkGkbu1,1.78244424658004E+018,f,f,12,https://pbs.twimg.com/media/GLyDmGNXUAkgs8v.jpg,photo,https://pbs.twimg.com/media/GLyDmGNXUAkgs8v.jpg,,,,,,,,,,Mirjam Aalfs,,,2024-04-22 16:19:59+00,0,1,3,https://twitter.com/HGL_MirjamAalfs/status/1782444246580039792,1.25259693962086E+018,HGL_MirjamAalfs,341,2024-05-01 09:37:57.140589+00,https://twitter.com/search?q=%23groningen&src=typed_query
30862,result,190,0,,,,,,"On #ShakespeareDay thought I would share this booklet about #Hamlet printed in secret by the famous Dutch artist &amp; innovative printer, Hendrik Nicolaas Werkman, in the dark days of 1944. Werkman was executed by the Nazis in 1945. #Groningen @groningermuseum @ukinnl 🇬🇧 🇳🇱 https://t.co/pyvPN24Mpi",1.78272913957051E+018,f,f,11,https://pbs.twimg.com/media/GL2Gs1-WMAAX9Qf.jpg,photo,https://pbs.twimg.com/media/GL2Gs1-WMAAX9Qf.jpg,https://pbs.twimg.com/media/GL2Gs19WgAAU70L.jpg,photo,https://pbs.twimg.com/media/GL2Gs19WgAAU70L.jpg,,,,,,,Keith Allan,,,2024-04-23 11:12:03+00,0,4,2,https://twitter.com/HCKeithAllan/status/1782729139570507864,8.90825802304156E+017,HCKeithAllan,1110,2024-05-01 09:17:50.790632+00,https://twitter.com/search?q=groningen&src=typed_query
30866,result,94,1,,,,,,Video | Het ultieme dronkenmansfilmpje. Mooier dan dit wordt het niet  Whuahahahaha. Dit is misschien wel het allerbeste dronkenmansfilmpje ooit. Het theater houdt maar niet op. Check: https://t.co/4toTGA1uQT #Groningen,1.78272454638818E+018,f,f,20,,,,,,,,,,,,,Sikkom,,,2024-04-23 10:53:47+00,2,4,8,https://twitter.com/Sikkom050/status/1782724546388181042,2343981858,Sikkom050,7467,2024-05-01 09:37:36.566589+00,https://twitter.com/search?q=%23groningen&src=typed_query
30871,result,12,0,,,,,,Groningen  Politie doet onderzoek na een melding van een steekpartij. Hierbij is een man om het leven gekomen. Een 46 jarige vrouw is aangehouden. #Groningen https://t.co/slKhpTqKD0,1.78273400879679E+018,f,f,1,https://pbs.twimg.com/media/GL2Kb_1WsAIHB_1.jpg,photo,https://pbs.twimg.com/media/GL2Kb_1WsAIHB_1.jpg,https://pbs.twimg.com/media/GL2KcABWoAA4DwQ.jpg,photo,https://pbs.twimg.com/media/GL2KcABWoAA4DwQ.jpg,https://pbs.twimg.com/media/GL2Kb_7XUAAJ7Zd.jpg,photo,https://pbs.twimg.com/media/GL2Kb_7XUAAJ7Zd.jpg,https://pbs.twimg.com/media/GL2Kb_zWoAA-6dY.jpg,photo,https://pbs.twimg.com/media/GL2Kb_zWoAA-6dY.jpg,Dutch Emergencies,,,2024-04-23 11:31:23+00,0,0,0,https://twitter.com/DEmergencies/status/1782734008796791187,1.64909574770968E+018,DEmergencies,48,2024-05-01 09:37:23.935142+00,https://twitter.com/search?q=(Groningen)%20(%23groningen)%20lang%3Anl%20until%3A2024-05-02%20since%3A2024-04-10%20-filter%3Areplies&src=typed_query
30875,result,21,0,,,,,,Google plant weer een #Datacenter in #Groningen. Om te koelen met miljarden liters #drinkwater . Kan dat niet anders? Ik koel mijn auto ook niet met drinkwater,1.78270187816351E+018,f,f,0,,,,,,,,,,,,,BE ♥ NL,,,2024-04-23 09:23:43+00,0,0,0,https://twitter.com/SWW_consultancy/status/1782701878163509496,9.74752531514577E+017,SWW_consultancy,37,2024-05-01 09:37:26.332163+00,https://twitter.com/search?q=(Groningen)%20(%23groningen)%20lang%3Anl%20until%3A2024-05-02%20since%3A2024-04-10%20-filter%3Areplies&src=typed_query
45578,result,16,0,,,,,,Hij is af! #Euroborg #Groningen https://t.co/55FCVwyiPs,1.78520147548591E+018,f,f,25,https://pbs.twimg.com/media/GMZPRvQWwAAa-tM.jpg,photo,https://pbs.twimg.com/media/GMZPRvQWwAAa-tM.jpg,,,,,,,,,,Erik Hogeboom 🌳💡,,,2024-04-30 06:56:13+00,1,0,3,https://twitter.com/erikhogeboom/status/1785201475485905266,11338942,erikhogeboom,2025,2024-05-01 09:37:25.805722+00,https://twitter.com/search?q=%23groningen&src=typed_query
45579,result,15,0,,,,,,"Nieuws dat politiek getint is, wordt altijd beïnvloed. Altijd. #groningen https://t.co/qS49teKpkV",1.7849363498854E+018,f,f,4,https://pbs.twimg.com/media/GMVd9Kha0AA6I_Y.jpg,photo,https://pbs.twimg.com/media/GMVd9Kha0AA6I_Y.jpg,,,,,,,,,,Ahmed Aarad*,,,2024-04-29 13:22:42+00,0,1,1,https://twitter.com/AhmedAarad/status/1784936349885403294,528792191,AhmedAarad,525,2024-05-01 09:37:22.244484+00,https://twitter.com/search?q=%23groningen&src=typed_query
45580,result,4,0,,,,,,Gisteren #Groningen https://t.co/eJSaRrlNDc,1.78282831601094E+018,f,f,11,https://pbs.twimg.com/media/GL3g56rW8AAo3a6.jpg,photo,https://pbs.twimg.com/media/GL3g56rW8AAo3a6.jpg,,,,,,,,,,GrRobbert🥫,,,2024-04-23 17:46:08+00,0,1,0,https://twitter.com/Gr_Robbert/status/1782828316010938531,1.70962956965157E+018,Gr_Robbert,198,2024-05-01 09:37:21.737498+00,https://twitter.com/search?q=(Groningen)%20(%23groningen)%20lang%3Anl%20until%3A2024-05-02%20since%3A2024-04-10%20-filter%3Areplies&src=typed_query
45581,result,10,0,,,,,,Respect voor de milieudienst van de gemeente #Groningen ! 👍 @gem_groningen https://t.co/Vh0HzsCxIX,1.78445721319869E+018,f,f,111,https://pbs.twimg.com/media/GMOqXqnWMAA36vJ.jpg,photo,https://pbs.twimg.com/media/GMOqXqnWMAA36vJ.jpg,,,,,,,,,,Operationeel Expert Siard Heidanus,,,2024-04-28 05:38:47+00,3,5,17,https://twitter.com/WA_Korrewegwijk/status/1784457213198692458,380925484,WA_Korrewegwijk,5430,2024-05-01 09:37:23.369293+00,https://twitter.com/search?q=(Groningen)%20(%23groningen)%20lang%3Anl%20until%3A2024-05-02%20since%3A2024-04-10%20-filter%3Areplies&src=typed_query
