id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"29630","result","1","0",,,,,,"Nog een vraag ...mag ik hier fietsen? #reitdiephaven #groningen https://t.co/RQqt13gJMs","1782011486077960406","f","f","7","https://pbs.twimg.com/media/GLr5_k-XIAAkEBT.jpg","photo","https://pbs.twimg.com/media/GLr5_k-XIAAkEBT.jpg","https://pbs.twimg.com/media/GLr5_mJX0AAgAwP.jpg","photo","https://pbs.twimg.com/media/GLr5_mJX0AAgAwP.jpg",,,,,,,"DͩAͣMͫHͪEͤRͬTͭJ̾Eͤ💧",,,"2024-04-21 11:40:21+00","0","1","16","https://twitter.com/Damhertje2024/status/1782011486077960406","1068203199541194753","Damhertje2024","619","2024-04-21 17:39:17.96875+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29631","result","2","0",,,,,,"“Hoe leg ik dit uit aan mijn kind?”  Hekken om je flat vanwege onveiligheid. Overal scheuren. Maar aan je kind moeten uitleggen dat je niet weet of en wanneer er iets gedaan gaat worden  De waanzin van #Groningen  Daarom gisteren in actie met de Vlamovenflat: dit moet opgelost! https://t.co/OP1ICoYNmD","1782001525482553391","f","f","78","https://pbs.twimg.com/media/GLrw5hTXYAMSfij.jpg","photo","https://pbs.twimg.com/media/GLrw5hTXYAMSfij.jpg","https://pbs.twimg.com/media/GLrw5hTW4AA4dCe.jpg","photo","https://pbs.twimg.com/media/GLrw5hTW4AA4dCe.jpg","https://pbs.twimg.com/media/GLrw5hRWwAAx-o5.jpg","photo","https://pbs.twimg.com/media/GLrw5hRWwAAx-o5.jpg","https://pbs.twimg.com/media/GLrw5hPXUAEkpmj.jpg","photo","https://pbs.twimg.com/media/GLrw5hPXUAEkpmj.jpg","Sandra Beckerman",,,"2024-04-21 11:00:46+00","2","25","7","https://twitter.com/SandraBeckerman/status/1782001525482553391","2546001121","SandraBeckerman","3127","2024-04-21 17:39:18.346274+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29632","result","3","2",,,,,,"Senator @MvRooijen on fire over arrogante houding van @StasMijnbouw richting @EersteKamer over beëindiging #gaswinning #Groningen Van Rooijen is de enige die een rationele aanpak wil en zich niet laat gijzelen door de emo-mafia in NL media &amp; politiek die alles doen o.b.v. emotie. https://t.co/FI6iECGWvO","1780252787026104496","f","f","136","https://pbs.twimg.com/ext_tw_video_thumb/1780249587460059137/pu/img/VfoNgMZZrZdpsqnA.jpg","video","https://video.twimg.com/ext_tw_video/1780249587460059137/pu/vid/avc1/480x270/WYB6K5uKPE4krtEU.mp4?tag=12",,,,,,,,,,"Henk Otten",,,"2024-04-16 15:11:54+00","3","43","14","https://twitter.com/hendrikotten3/status/1780252787026104496","889478215961595905","hendrikotten3","10763","2024-04-21 17:39:18.59334+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29633","result","4","0",,,,,,"Mooi om te zien. In de laatste jaren Eredivisie, veel lege stoeltjes bij #Groningen. Nu jaartje KKD en het stadion zit lekker vol. Bij ons begon het ook meer te leven toen we een jaartje lager voetbalden en kijk waar we nu staan en hoe de regio leeft. #grocam #FCTwente","1781762283942605018","f","f","27",,,,,,,,,,,,,"StanScholten",,,"2024-04-20 19:10:06+00","0","0","2","https://twitter.com/StanScholten8/status/1781762283942605018","1476865337991868418","StanScholten8","6662","2024-04-21 17:39:18.852484+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29634","result","5","8",,,,,,"De geschiedenis gaat heel zwaar oordelen over deze waanzin. Een historische fout. #Groningen #gaskraan","1781332427354386445","f","t","1034",,,,,,,,,,,,,"Annelies","https://twitter.com/ADnl/status/Field","1781192958814949867","2024-04-19 14:42:00+00","5","173","98","https://twitter.com/annstrikje/status/1781332427354386445","171084541","annstrikje","36893","2024-04-21 17:39:19.105135+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29635","result","6","3",,,,,,"An Kreuzungen haben alle Radfahrer aus allen Richtungen gleichzeitig grün. Seitdem gibt es keine tödlichen radunfälle mehr in #Groningen, heißt es https://t.co/uDq5i4whJq","1779200835156582604","f","f","137","https://pbs.twimg.com/ext_tw_video_thumb/1779200769029246976/pu/img/Y0KyS0fzxLXV5BcV.jpg","video","https://video.twimg.com/ext_tw_video/1779200769029246976/pu/vid/hevc/480x270/CWnE82iyqDPe58oD.mp4?tag=17",,,,,,,,,,"Winter-PölslerGerald",,,"2024-04-13 17:31:49+00","6","11","20","https://twitter.com/KLZWinter/status/1779200835156582604","477129433","KLZWinter","32111","2024-04-21 17:39:19.36016+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29636","result","7","0",,,,,,"looking for a home in #Groningen next year. Would some help me???!!! Need a tip or smt  i can no more","1781989136938795161","f","f","0",,,,,,,,,,,,,"Aroha González (922)",,,"2024-04-21 10:11:32+00","0","0","1","https://twitter.com/arohasinh/status/1781989136938795161","883111552387297280","arohasinh","38","2024-04-21 17:39:19.607431+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29637","result","8","1",,,,,,"Gooi nooit je oude schoenen weg voordat je nieuwe hebt. #Groningen #dom Betonlaag van 500 meter zorgt ervoor dat Groningse gaskraan écht nooit meer opengaat https://t.co/4jf8ubtuLt","1781215785882398752","f","f","638",,,,,,,,,,,,,"Vincent",,,"2024-04-19 06:58:31+00","18","160","191","https://twitter.com/V_iswakker/status/1781215785882398752","1277588207463477249","V_iswakker","16220","2024-04-21 17:39:19.859232+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29638","result","9","1",,,,,,"Op de dag dat de gaskraan in #Groningen officieel dicht is gegaan zit Henk Kamp bij Op1, de VVD-er die nog meer gas liet winnen uit het Groningenveld nadat de zwaarste gasbeving de Groningers nog verder had beschadigd. Lekker sensitief bij de redactie van #Op1.","1781437369926746295","f","f","17",,,,,,,,,,,,,"Sietce Wierda ",,,"2024-04-19 21:39:01+00","0","3","4","https://twitter.com/Sietce/status/1781437369926746295","153856209","Sietce","1723","2024-04-21 17:39:20.100251+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
"29639","result","10","3",,,,,,"Over Henk Kamp. Feiten die redactie van @op1npo niet paraat heeft over gaswinning #Groningen. Hij heeft veiligheid van Groningers geofferd voor winstbejag. De man zou vervolgd moeten worden. https://t.co/GRyH1POSWy","1781582843388322101","f","f","169","https://pbs.twimg.com/media/GLl0F7DWoAA7ezm.jpg","photo","https://pbs.twimg.com/media/GLl0F7DWoAA7ezm.jpg",,,,,,,,,,"Jonathan Huseman",,,"2024-04-20 07:17:04+00","7","48","13","https://twitter.com/JonHuus/status/1781582843388322101","127994043","JonHuus","7253","2024-04-21 17:39:20.355252+00","https://twitter.com/search?q=%23Groningen&src=typed_query"
